2014-01-01,New Year's Day,Holiday
2014-01-20,Martin Luther King Day,Holiday
2014-02-12,Lincoln's Birthday,Holiday
2014-02-14,Valentine's Day,Holiday
2014-02-17,President's Day,Holiday
2014-03-31,Easter,Holiday
2014-04-20,Easter,Holiday
2014-05-05,Cinco De Mayo,Holiday
2014-05-11,Mother's Day,Holiday
2014-05-26,Memorial Day,Holiday //not always on the same day
2014-06-15,Father's Day,Holiday
2014-07-04,Independence Day,Holiday
2014-09-02,Labor Day,Holiday //not always on the same day
2014-10-13,Columbus Day,Holiday
2014-10-31,Halloween,Holiday
2014-11-11,Veteran's Day,Holiday
2014-11-27,Thanksgiving,Holiday
2014-12-24,Christmas Eve,Holiday
2014-12-25,Christmas Day,Holiday
2014-12-31,New Year's Eve,Holiday
